"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"1094","512","Paderborn",2011,446927,0.551316,0.607022737559723,0.819149991417401,0.455586557638407,3,5,2
"1095","512","Paderborn",2012,446927,0.522616,0.586421709863743,0.81385154413953,0.434397235761666,3,5,2
"1096","512","Paderborn",2013,446927,0.499098,0.568864018830762,0.805304207147718,0.421914060554861,3,5,2
"1097","512","Paderborn",2014,446927,0.501442,0.594749644366602,0.798391836364366,0.406787457432821,3,6,2
"1098","512","Paderborn",2015,446927,0.484845,0.583506989233279,0.793337160222258,0.395852247511735,3,6,2
"1099","512","Paderborn",2016,446927,0.471592,0.588805299123731,0.787269590251981,0.374877410273439,3,6,2
"1100","512","Paderborn",2017,446927,0.432453,0.559506980156526,0.777021977541865,0.350206382261939,3,6,2
"1101","513","Siegen",1998,412785,0.760433,0.784074466955561,0.870418569349472,0.570375944376204,2,3,2
"1102","513","Siegen",1999,412785,0.74119,0.781261916795639,0.862615740222159,0.549418233003661,2,3,2
"1103","513","Siegen",2000,412785,0.716244,0.772753126280768,0.855776299576618,0.523835906384883,2,3,2
"1104","513","Siegen",2001,412785,0.683466,0.779255649638302,0.831730415330207,0.487598817305319,2,3,2
"1105","513","Siegen",2002,412785,0.685329,0.779960325553029,0.831377683665696,0.490303062468453,2,4,2
"1106","513","Siegen",2003,412785,0.675554,0.76202841219897,0.826159833429032,0.497414411770406,2,3,2
"1107","513","Siegen",2004,412785,0.663259,0.750002091801853,0.817198719055606,0.498229246706552,2,3,2
"1108","513","Siegen",2005,412785,0.672926,0.742443055162573,0.819873940907623,0.518973609061542,2,4,2
"1109","513","Siegen",2006,412785,0.640807,0.719960777618352,0.809866353877264,0.49876423831843,2,4,2
"1110","513","Siegen",2007,412785,0.608019,0.712798095865687,0.803727132094699,0.458269537620776,2,4,2
"1111","513","Siegen",2008,412785,0.567016,0.694364807896577,0.78845490496537,0.42470004764209,2,3,2
"1112","513","Siegen",2009,412785,0.573011,0.680988361866299,0.792444252001439,0.443922280595576,2,4,2
"1113","513","Siegen",2010,412785,0.559416,0.671330657324656,0.794015148097015,0.429703537691915,2,4,2
