"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"1051","510","Köln",2008,2267492,0.410964,0.567289516905485,0.339363697225075,0.332972423251621,2,4,2
"1052","510","Köln",2009,2267492,0.388365,0.543399537633771,0.324427961742173,0.330880390879804,2,4,2
"1053","510","Köln",2010,2267492,0.383357,0.522542100687506,0.342701939104929,0.324395828375789,2,4,2
"1054","510","Köln",2011,2267492,0.362995,0.499421456378139,0.346126178401664,0.307222827700585,2,4,2
"1055","510","Köln",2012,2267492,0.361099,0.482650627346489,0.364539453287896,0.302146875026735,2,4,2
"1056","510","Köln",2013,2267492,0.341745,0.448839426035822,0.365419532653712,0.300033867529327,2,4,2
"1057","510","Köln",2014,2267492,0.343312,0.443821358823306,0.377237970507904,0.296071447734373,2,4,2
"1058","510","Köln",2015,2267492,0.329922,0.418783666328944,0.383277980208313,0.290824658008096,2,4,2
"1059","510","Köln",2016,2267492,0.320815,0.404362499055478,0.392037754184744,0.279996722066769,2,4,2
"1060","510","Köln",2017,2267492,0.307856,0.380273075623395,0.40629402975835,0.266365262161325,2,3,2
"1061","511","Münster",1998,1626660,0.56248,0.763261911908262,0.407593541585465,0.343116069291965,2,4,2
"1062","511","Münster",1999,1626660,0.551938,0.763588260599413,0.396810007858374,0.334485995251489,2,4,2
"1063","511","Münster",2000,1626660,0.522703,0.761248432536797,0.360593684613274,0.320106155324585,2,4,2
"1064","511","Münster",2001,1626660,0.482143,0.752010849206063,0.321357486239,0.295140179165571,2,4,2
"1065","511","Münster",2002,1626660,0.488079,0.748194333209656,0.327628372597004,0.303433971116786,2,4,2
"1066","511","Münster",2003,1626660,0.487349,0.733724350731339,0.325899394169711,0.31831007434614,2,4,2
"1067","511","Münster",2004,1626660,0.472329,0.726333206749275,0.301598036689652,0.322807847616316,2,4,2
"1068","511","Münster",2005,1626660,0.490986,0.71388045939005,0.334698894783295,0.335940279900118,2,4,2
"1069","511","Münster",2006,1626660,0.484346,0.706926470002253,0.344084993041656,0.321486014023898,2,4,2
"1070","511","Münster",2007,1626660,0.464651,0.684093428620575,0.358662937425465,0.294079324019979,2,4,2
"1071","511","Münster",2008,1626660,0.436879,0.673269394189335,0.340279694369649,0.273001031770005,2,4,2
"1072","511","Münster",2009,1626660,0.433023,0.656354513509046,0.341039420418851,0.282174798984963,2,4,2
"1073","511","Münster",2010,1626660,0.424846,0.63560108534135,0.354516377035025,0.27464512981023,2,4,2
"1074","511","Münster",2011,1626660,0.410047,0.625664272981674,0.35661881604171,0.255682869551334,2,4,2
"1075","511","Münster",2012,1626660,0.410309,0.609859356566515,0.377411523458935,0.251170320071833,3,5,2
"1076","511","Münster",2013,1626660,0.386065,0.585640028516669,0.362196804596312,0.24670554981405,2,4,2
"1077","511","Münster",2014,1626660,0.387093,0.596024055691513,0.358477479561195,0.241902126277107,2,4,2
"1078","511","Münster",2015,1626660,0.378864,0.581754672399124,0.363369782295271,0.236379106523061,2,4,2
"1079","511","Münster",2016,1626660,0.371141,0.577826920912241,0.361299889570707,0.228393348864961,2,4,2
"1080","511","Münster",2017,1626660,0.360183,0.577754121985616,0.354501289750255,0.215423257618676,2,4,2
"1081","512","Paderborn",1998,446927,0.636587,0.772530677519075,0.511841296639955,0.36378256915928,3,5,2
"1082","512","Paderborn",1999,446927,0.623715,0.770138467346039,0.500947094388194,0.353763616056663,3,6,2
"1083","512","Paderborn",2000,446927,0.595793,0.754482152450432,0.475831672706977,0.34397746098493,3,5,2
"1084","512","Paderborn",2001,446927,0.54312,0.745998363759376,0.41682599923753,0.31609357146916,3,5,2
"1085","512","Paderborn",2002,446927,0.547936,0.734619901874515,0.428970194834274,0.324047673576804,3,5,2
"1086","512","Paderborn",2003,446927,0.547182,0.72599481481475,0.427606104265131,0.332671887206082,3,5,2
"1087","512","Paderborn",2004,446927,0.531277,0.708939507009698,0.408584252701814,0.339949545801908,3,5,2
"1088","512","Paderborn",2005,446927,0.554052,0.694417591512085,0.443249392243336,0.361045071986157,3,5,2
"1089","512","Paderborn",2006,446927,0.550309,0.679548190038051,0.458283572371156,0.354102418325503,3,5,2
"1090","512","Paderborn",2007,446927,0.528094,0.656080531236059,0.471696292284931,0.323934092495847,3,5,2
"1091","512","Paderborn",2008,446927,0.498444,0.648392080509502,0.449680613847771,0.299950936896347,3,5,2
"1092","512","Paderborn",2009,446927,0.499348,0.64911734519213,0.442944196433959,0.307598541035548,3,6,2
"1093","512","Paderborn",2010,446927,0.49073,0.619585000671229,0.464995206504078,0.299476918426542,3,6,2
"1094","512","Paderborn",2011,446927,0.469472,0.607022737559723,0.459323010988414,0.279219247495403,3,6,2
"1095","512","Paderborn",2012,446927,0.458187,0.586421709863743,0.468867511084668,0.26984229501331,3,6,2
"1096","512","Paderborn",2013,446927,0.435447,0.568864018830762,0.453367472951168,0.261724902819708,3,6,2
"1097","512","Paderborn",2014,446927,0.449395,0.594749644366602,0.455089297842849,0.259374235859333,3,6,2
"1098","512","Paderborn",2015,446927,0.442515,0.583506989233279,0.459356177661449,0.253891519774663,3,6,2
"1099","512","Paderborn",2016,446927,0.436988,0.588805299123731,0.453975263605479,0.2439659748208,3,6,2
"1100","512","Paderborn",2017,446927,0.410111,0.559506980156526,0.44915429020162,0.229420253808423,3,6,2
"1101","513","Siegen",1998,412785,0.518405,0.784074466955561,0.309537229330734,0.34055526390958,2,3,2
"1102","513","Siegen",1999,412785,0.502033,0.781261916795639,0.296658629945052,0.326602506378774,2,3,2
"1103","513","Siegen",2000,412785,0.488672,0.772753126280768,0.293140360283837,0.314436251352535,2,3,2
"1104","513","Siegen",2001,412785,0.45122,0.779255649638302,0.246921756168999,0.286340061774851,2,3,2
"1105","513","Siegen",2002,412785,0.455893,0.779960325553029,0.246247844225539,0.294769213051102,2,3,2
"1106","513","Siegen",2003,412785,0.452629,0.76202841219897,0.24512961481725,0.307910718829332,2,3,2
"1107","513","Siegen",2004,412785,0.429857,0.750002091801853,0.211492806526436,0.312339738915438,2,3,2
"1108","513","Siegen",2005,412785,0.455286,0.742443055162573,0.238022525043555,0.339413119169135,2,3,2
"1109","513","Siegen",2006,412785,0.430867,0.719960777618352,0.234158545342958,0.321544724796143,2,3,2
"1110","513","Siegen",2007,412785,0.414855,0.712798095865687,0.250495036016326,0.283378048577765,2,3,2
"1111","513","Siegen",2008,412785,0.385325,0.694364807896577,0.236123290633602,0.262713978003582,2,3,2
"1112","513","Siegen",2009,412785,0.391706,0.680988361866299,0.237144856416126,0.286623581977577,2,4,2
"1113","513","Siegen",2010,412785,0.393272,0.671330657324656,0.256457897440825,0.279803327413304,2,4,2
"1114","513","Siegen",2011,412785,0.360693,0.656125236978248,0.243601702297856,0.248875872689453,2,4,2
"1115","513","Siegen",2012,412785,0.349428,0.643085847548867,0.242445291870966,0.242673994521707,2,4,2
"1116","513","Siegen",2013,412785,0.351696,0.627956139928414,0.262964696126298,0.241390691604112,2,4,2
"1117","513","Siegen",2014,412785,0.341777,0.613412047558676,0.264765782409403,0.236174468624264,2,4,2
"1118","513","Siegen",2015,412785,0.362952,0.622227484284675,0.299028024801359,0.231437505589777,2,4,2
"1119","513","Siegen",2016,412785,0.343466,0.608255730275154,0.289766674639377,0.219387503433588,2,4,2
"1120","513","Siegen",2017,412785,0.328029,0.591900338854458,0.290176170833527,0.207382281262971,2,4,2
"1121","601","Mittelhessen",1998,1045807,0.600947,0.824045517980665,0.397568004605074,0.362009579499026,3,5,2
"1122","601","Mittelhessen",1999,1045807,0.586446,0.818169401743051,0.389170484088444,0.350025986320571,3,5,2
"1123","601","Mittelhessen",2000,1045807,0.564776,0.814189107248239,0.369291227526108,0.334649263107851,3,5,2
"1124","601","Mittelhessen",2001,1045807,0.511712,0.805135185543751,0.314158233587089,0.302754369647135,3,5,2
"1125","601","Mittelhessen",2002,1045807,0.500208,0.775153936909485,0.315451745111774,0.310612486446209,2,4,2
"1126","601","Mittelhessen",2003,1045807,0.517006,0.775490879179621,0.330363433805929,0.325779588565498,3,5,2
"1127","601","Mittelhessen",2004,1045807,0.508401,0.746626631072358,0.336482791822473,0.332943198463024,3,5,2
"1128","601","Mittelhessen",2005,1045807,0.518026,0.7234254916813,0.35140999299954,0.358644806055154,3,5,2
"1129","601","Mittelhessen",2006,1045807,0.511724,0.714399877852783,0.359151675363521,0.348518463950638,3,5,2
"1130","601","Mittelhessen",2007,1045807,0.495787,0.702554823095592,0.368274359775859,0.322383590729878,3,5,2
"1131","601","Mittelhessen",2008,1045807,0.459203,0.669673481310352,0.353327187895268,0.303970522824212,3,5,2
"1132","601","Mittelhessen",2009,1045807,0.443498,0.649606048983748,0.343908439729825,0.305020921674629,3,5,2
"1133","601","Mittelhessen",2010,1045807,0.436197,0.629048257231066,0.358693485852273,0.297572908577029,3,5,2
"1134","601","Mittelhessen",2011,1045807,0.424827,0.615004491287144,0.368998908648502,0.280723956308159,3,5,2
"1135","601","Mittelhessen",2012,1045807,0.417582,0.592328003802829,0.384596754287263,0.274684127804029,3,5,2
"1136","601","Mittelhessen",2013,1045807,0.405489,0.570798057456641,0.389942439160146,0.268973452018137,3,5,2
"1137","601","Mittelhessen",2014,1045807,0.403477,0.574013436667182,0.391562594157825,0.260494765070707,3,5,2
"1138","601","Mittelhessen",2015,1045807,0.397061,0.55979525469121,0.399593011287806,0.255065185860482,3,5,2
"1139","601","Mittelhessen",2016,1045807,0.389908,0.562902309899048,0.393066697961347,0.245532486678455,3,5,2
"1140","601","Mittelhessen",2017,1045807,0.380076,0.549572165581747,0.399647235131382,0.234479368899353,3,5,2
"1141","602","Nordhessen",1998,876521,0.698777,0.851837868407546,0.514892188190656,0.394031007457836,3,6,2
"1142","602","Nordhessen",1999,876521,0.682393,0.842153573169346,0.506472007681526,0.382468611537402,3,6,2
"1143","602","Nordhessen",2000,876521,0.675407,0.864517585419356,0.487381548983952,0.366546408683191,4,7,2
"1144","602","Nordhessen",2001,876521,0.608783,0.836204710358991,0.414788767831768,0.346818297591784,3,6,2
"1145","602","Nordhessen",2002,876521,0.597187,0.81601786903135,0.412477073939082,0.348320827114935,3,6,2
"1146","602","Nordhessen",2003,876521,0.610533,0.822547341402783,0.421392877103551,0.357039511277662,3,6,2
"1147","602","Nordhessen",2004,876521,0.590738,0.801931037877283,0.400301225654172,0.362905465020868,3,6,2
"1148","602","Nordhessen",2005,876521,0.610677,0.77668725847245,0.433483662265367,0.391069444747997,3,6,2
"1149","602","Nordhessen",2006,876521,0.612177,0.769063144795427,0.464135122593962,0.370758534048133,3,6,2
"1150","602","Nordhessen",2007,876521,0.59521,0.758904815283822,0.476398624625663,0.337931747035045,3,6,2
"1151","602","Nordhessen",2008,876521,0.54709,0.707961555120617,0.46448587807719,0.313658658116891,3,6,2
"1152","602","Nordhessen",2009,876521,0.536324,0.699222781666739,0.452986137796849,0.314403938631054,3,6,2
"1153","602","Nordhessen",2010,876521,0.519974,0.683855942436714,0.457579349720645,0.295572985725027,3,6,2
"1154","602","Nordhessen",2011,876521,0.509351,0.665293717031338,0.473568439775254,0.278910280891447,3,6,2
"1155","602","Nordhessen",2012,876521,0.51472,0.658989466594086,0.497516581020964,0.270989082375702,4,7,2
"1156","602","Nordhessen",2013,876521,0.498888,0.626366697702537,0.505240097167306,0.26722168277056,4,7,2
"1157","602","Nordhessen",2014,876521,0.496435,0.627374016316021,0.506858273822912,0.260154308988101,4,7,2
"1158","602","Nordhessen",2015,876521,0.480051,0.604308165989511,0.50843267859929,0.251979614590559,4,7,2
"1159","602","Nordhessen",2016,876521,0.477435,0.607179233266832,0.511580604075706,0.24122338004298,4,7,2
"1160","602","Nordhessen",2017,876521,0.457266,0.58949292049697,0.507930652317904,0.226040561008198,3,6,2
"1161","603","Osthessen",1998,342884,0.624039,0.840296293944028,0.418369678199946,0.36676950136928,3,5,2
"1162","603","Osthessen",1999,342884,0.611531,0.836612452270323,0.410382826260467,0.355791656376099,3,5,2
"1163","603","Osthessen",2000,342884,0.596863,0.846868893563374,0.392674494959487,0.336684403894105,3,6,2
"1164","603","Osthessen",2001,342884,0.533878,0.845110615818901,0.306468684793354,0.3106042935474,3,5,2
"1165","603","Osthessen",2002,342884,0.514941,0.793960621013726,0.318563059053228,0.315371073089384,3,5,2
"1166","603","Osthessen",2003,342884,0.534082,0.792693690649303,0.345363537001005,0.324495381397576,3,5,2
"1167","603","Osthessen",2004,342884,0.542771,0.786752367511621,0.363431485532862,0.328100803310446,3,5,2
"1168","603","Osthessen",2005,342884,0.532423,0.753804304112912,0.362867692724027,0.34287673950291,3,5,2
"1169","603","Osthessen",2006,342884,0.531047,0.755386475875331,0.376876644902336,0.324793268060498,3,5,2
"1170","603","Osthessen",2007,342884,0.513026,0.746108633259299,0.375837372561972,0.30248045535827,3,5,2
