"","Kreiskennziffer","Name des Kreises","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"3638",8337,"Waldshut",2014,165211,0.54233278728267,0.685235530399496,0.439944315944386,0.47260293354816,0.521092,2,3,2
"3639",8415,"Reutlingen",1998,278031,0.685580173369569,0.748829415202727,0.633647530995349,0.547671067595292,0.674229,3,6,2
"3640",8415,"Reutlingen",1999,278031,0.667271065534222,0.744610519652468,0.614281541385036,0.528774822213432,0.654656,3,6,2
"3641",8415,"Reutlingen",2000,278031,0.650513432147501,0.742278567916121,0.590831785307212,0.515675159188266,0.636741,3,5,2
"3642",8415,"Reutlingen",2001,278031,0.595144933526211,0.696260243398376,0.538192820174357,0.485865434551663,0.57755,2,4,2
"3643",8415,"Reutlingen",2002,278031,0.589399960364663,0.688190420767227,0.536361483659673,0.48243700074118,0.571408,2,4,2
"3644",8415,"Reutlingen",2003,278031,0.579198382928464,0.672508330295313,0.528349594222196,0.48246109205178,0.560502,2,3,2
"3645",8415,"Reutlingen",2004,278031,0.565526803960628,0.647331936778422,0.521291870638785,0.482974158837847,0.545887,2,3,2
"3646",8415,"Reutlingen",2005,278031,0.556560507198712,0.622138185994925,0.521474824764213,0.487181187958439,0.536302,2,3,2
"3647",8415,"Reutlingen",2006,278031,0.541460542371627,0.615931214435388,0.502057921771264,0.477769844914626,0.520159,2,3,2
"3648",8415,"Reutlingen",2007,278031,0.508528228637529,0.588841552182606,0.477616557372225,0.452890708308701,0.484953,1,2,1
"3649",8415,"Reutlingen",2008,278031,0.480463696485977,0.58071632668922,0.441043845762106,0.432472798989546,0.454951,1,2,1
"3650",8415,"Reutlingen",2009,278031,0.499518079904685,0.56305409767158,0.471554533996933,0.463834672503755,0.475321,1,2,1
"3651",8415,"Reutlingen",2010,278031,0.479393238880241,0.54160810173953,0.466105975130869,0.444035199040447,0.453807,1,2,1
"3652",8415,"Reutlingen",2011,278031,0.434292070330339,0.514459595273515,0.423481087349556,0.409164028079321,0.405592,1,1,1
"3653",8415,"Reutlingen",2012,278031,0.410513528495739,0.503248244894056,0.400479424408329,0.388205628960447,0.380172,1,1,1
"3654",8415,"Reutlingen",2013,278031,0.405570937226329,0.512053614620919,0.383766927145188,0.384644864842915,0.374888,1,1,1
"3655",8415,"Reutlingen",2014,278031,0.380318858939998,0.503519004668287,0.368638496638681,0.349717566340898,0.347892,1,1,1
"3656",8416,"Tübingen",1998,218355,0.641943931631748,0.598845567754791,0.629941167714615,0.600115663391989,0.62758,3,5,2
"3657",8416,"Tübingen",1999,218355,0.62580592431589,0.595671416345987,0.61169051006976,0.584096769473068,0.610328,3,5,2
"3658",8416,"Tübingen",2000,218355,0.612990820212795,0.603874315695695,0.59048040732815,0.567370131368476,0.596628,2,4,2
"3659",8416,"Tübingen",2001,218355,0.566528117396777,0.568385555251207,0.546683516319728,0.538852160633364,0.546957,2,3,2
"3660",8416,"Tübingen",2002,218355,0.564284100283156,0.56324942513442,0.544441327247408,0.541023869822659,0.544558,2,3,2
"3661",8416,"Tübingen",2003,218355,0.552721959670858,0.544799752314454,0.531363633823149,0.545724543629541,0.532198,2,3,2
"3662",8416,"Tübingen",2004,218355,0.54762614184284,0.528245342257676,0.5309895580677,0.550829618693455,0.52675,2,3,2
"3663",8416,"Tübingen",2005,218355,0.530411475209684,0.492683537540031,0.529576225167729,0.547862968482626,0.508347,1,2,1
"3664",8416,"Tübingen",2006,218355,0.506700063989391,0.462806128921953,0.504902690950669,0.54739825657079,0.482999,1,2,1
"3665",8416,"Tübingen",2007,218355,0.489305884559531,0.463306530126619,0.481298427842035,0.530143821736137,0.464404,1,2,1
"3666",8416,"Tübingen",2008,218355,0.443603393080308,0.422021285073222,0.451401950942634,0.495285777901164,0.415546,1,1,1
"3667",8416,"Tübingen",2009,218355,0.456144344662981,0.416765750346835,0.476087001905257,0.504954009414347,0.428953,1,1,1
"3668",8416,"Tübingen",2010,218355,0.429640879712315,0.369734653427741,0.47122771283628,0.495350565964022,0.40062,1,1,1
"3669",8416,"Tübingen",2011,218355,0.383803851226871,0.351179120207598,0.420387518341466,0.45839437264173,0.351618,1,1,1
"3670",8416,"Tübingen",2012,218355,0.367088697688094,0.352313129753385,0.401628999682621,0.437236073444124,0.333749,1,1,1
