"","X","Gemeindekennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name.der.Gemeinde","Jahr","Kreis","digits","Lebenserwartung_Frauen_2016","Lebenserwartung_MÃ¤nner_2016"
"69",45317,5117000,0.502137698702958,2,4,2,"Mülheim an der Ruhr, Stadt",2016,5117,0,82.61,78.0366666666667
"70",45339,5119000,0.781099652817126,5,10,3,"Oberhausen, Stadt",2016,5119,0,81.56,76.4233333333333
"71",45361,5120000,0.695385661450338,5,9,3,"Remscheid, Stadt",2016,5120,0,82.2566666666667,77.4266666666667
"72",45383,5122000,0.689688565629926,5,9,3,"Solingen, Klingenstadt",2016,5122,0,82.1666666666667,78.0166666666667
"73",45405,5124000,0.722737902685774,5,9,3,"Wuppertal, Stadt",2016,5124,0,82.39,77.3866666666667
"74",45427,5154004,0.662975058464772,4,8,2,"Bedburg-Hau",2016,5154,0,82.6166666666667,78.0633333333333
"75",45779,5158004,0.43884121277056,1,2,1,"Erkrath, Fundort des Neanderthalers, Stadt",2016,5158,0,83.1566666666667,78.9533333333333
"76",45999,5162004,0.406327588160755,1,2,1,"Dormagen, Stadt",2016,5162,0,83.01,78.9666666666667
"77",46175,5166004,0.561179391554287,3,5,2,"Brüggen, Burggemeinde",2016,5166,0,82.52,78.8933333333333
"78",46373,5170004,0.539483037489569,3,5,2,"Alpen",2016,5170,0,82.9,78.33
"79",46659,5314000,0.297598565938991,1,1,1,"Bonn, Stadt",2016,5314,0,84.07,79.2733333333333
"80",46681,5315000,0.433618016421647,1,2,1,"Köln, Stadt",2016,5315,0,82.8433333333333,78.5933333333333
"81",46703,5316000,0.496986617491011,2,4,2,"Leverkusen, Stadt",2016,5316,0,83.4333333333333,78.7833333333333
"82",46725,5334002,0.590303604726632,3,6,2,"Aachen, Stadt",2016,5334,0,82.86,78.7333333333333
"83",46945,5358004,0.667332873170078,4,8,2,"Aldenhoven",2016,5358,0,82.1766666666667,77.9233333333333
"84",47275,5362004,0.542254319181596,3,5,2,"Bedburg, Stadt",2016,5362,0,82.85,78.91
"85",47495,5366004,0.620200480080769,4,7,2,"Bad Münstereifel, Stadt",2016,5366,0,82.3866666666667,77.58
"86",47737,5370004,0.690347904025055,5,9,3,"Erkelenz, Stadt",2016,5370,0,82.32,78.4766666666667
"87",47957,5374004,0.613359844231304,4,7,2,"Bergneustadt, Stadt",2016,5374,0,82.71,78.0333333333333
"88",48243,5378004,0.448329504362966,2,3,2,"Bergisch Gladbach, Stadt",2016,5378,0,83.64,79.73
"89",48419,5382004,0.478978437574047,2,3,2,"Alfter",2016,5382,0,83.4566666666667,79.6366666666667
"90",48837,5512000,0.661192784365438,4,8,2,"Bottrop, Stadt",2016,5512,0,81.9466666666667,77.32
"91",48859,5513000,1,5,10,3,"Gelsenkirchen, Stadt",2016,5513,0,81.16,75.81
"92",48881,5515000,0.352859365180751,1,1,1,"Münster, Stadt",2016,5515,0,84.1466666666667,79.8833333333333
"93",48903,5554004,0.578734276324601,3,6,2,"Ahaus, Stadt",2016,5554,0,83.2966666666667,78.6266666666667
"94",49277,5558004,0.464411179906662,2,3,2,"Ascheberg",2016,5558,0,83.47,79.4233333333333
"95",49519,5562004,0.692810120844365,5,9,3,"Castrop-Rauxel, Stadt",2016,5562,0,82.36,77.43
"96",49739,5566004,0.556945202798067,3,5,2,"Altenberge",2016,5566,0,83.5866666666667,78.5966666666667
"97",50267,5570004,0.622477257976449,4,7,2,"Ahlen, Stadt",2016,5570,0,84.0866666666667,78.9666666666667
"98",50553,5711000,0.577209556285864,3,6,2,"Bielefeld, Stadt",2016,5711,0,83.24,78.2366666666667
"99",50575,5754004,0.521835433257441,2,4,2,"Borgholzhausen, Stadt",2016,5754,0,83.74,79.4033333333333
"100",50861,5758004,0.577642247107668,3,6,2,"Bünde, Stadt",2016,5758,0,83.5266666666667,78.4066666666667
"101",51059,5762004,0.631254700361606,4,7,2,"Bad Driburg, Stadt",2016,5762,0,83.3033333333333,78.4333333333333
"102",51279,5766004,0.603552185603758,4,7,2,"Augustdorf",2016,5766,0,83.0866666666667,78.36
"103",51631,5770004,0.582762421832343,3,6,2,"Bad Oeynhausen, Stadt",2016,5770,0,83.3466666666667,78.1133333333333
"104",51873,5774004,0.558377203374988,3,5,2,"Altenbeken",2016,5774,0,83.65,79.1233333333333
"105",52093,5911000,0.610032245768387,4,7,2,"Bochum, Stadt",2016,5911,0,82.49,77.1
