"year","PLZ2","gisd_score","population","gisd_5","gisd_10","gisd_k"
2000,28,0.51163,738878,3,6,2
2000,29,0.6865,491951,4,8,2
2000,30,0.4335,912461,3,5,2
2000,31,0.53681,987374,3,6,2
2000,32,0.45732,885607,3,5,2
2000,33,0.45352,1082569,3,5,2
2000,34,0.54709,800276,4,7,2
2000,35,0.45679,912547,3,5,2
2000,36,0.50925,518781,3,6,2
2000,37,0.59811,729093,4,8,2
2000,38,0.55751,1141995,4,7,2
2000,39,0.98635,783323,5,10,3
2000,40,0.2513,991992,1,1,1
2000,41,0.45579,952282,3,5,2
2000,42,0.51546,878888,3,6,2
2000,44,0.58329,1267494,4,8,2
2000,45,0.5475,1559154,4,7,2
2000,46,0.55025,894580,4,7,2
2000,47,0.61476,1313713,4,8,2
2000,48,0.40353,1189935,2,4,2
2000,49,0.57228,1228129,4,7,2
2000,50,0.3697,1084177,2,3,2
2000,51,0.36371,1079789,2,3,2
2000,52,0.55538,941131,4,7,2
2000,53,0.36731,1265468,2,3,2
2000,54,0.57387,516542,4,7,2
2000,55,0.41029,795458,2,4,2
2000,56,0.53533,849197,3,6,2
2000,57,0.48729,598580,3,6,2
2000,58,0.55279,930406,4,7,2
2000,59,0.53408,1145053,3,6,2
2000,60,0.28615,619157,1,2,1
2000,61,0.13825,451016,1,1,1
2000,63,0.41218,1268561,2,4,2
2000,64,0.33347,792590,1,2,1
2000,65,0.29228,1081648,1,2,1
2000,66,0.63912,1248759,4,8,2
2000,67,0.55507,1033467,4,7,2
2000,68,0.41934,601445,2,4,2
2000,69,0.22989,508949,1,1,1
2000,70,0.17566,821650,1,1,1
2000,71,0.18981,1000158,1,1,1
2000,72,0.36086,1056260,2,3,2
2000,73,0.29257,1006392,1,2,1
2000,74,0.38964,1057532,2,4,2
2000,75,0.37273,484410,2,3,2
2000,76,0.33334,1139769,1,2,1
2000,77,0.42131,478943,2,4,2
2000,78,0.47257,741488,3,5,2
2000,79,0.43929,1040371,3,5,2
2000,80,0.00007,626238,1,1,1
2000,81,0,814923,1,1,1
2000,82,0.09158,735553,1,1,1
2000,83,0.30059,762163,1,2,1
2000,84,0.38374,684830,2,3,2
2000,85,0.14945,1114901,1,1,1
2000,86,0.36259,1164100,2,3,2
2000,87,0.3856,522875,2,4,2
2000,88,0.3575,846572,1,2,1
2000,89,0.36077,763761,2,3,2
2000,90,0.41382,892793,2,4,2
2000,91,0.3233,999919,1,2,1
2000,92,0.46785,516635,3,5,2
2000,93,0.39166,590817,2,4,2
2000,94,0.51365,705807,3,6,2
2000,95,0.48769,497496,3,6,2
2000,96,0.4613,552316,3,5,2
2000,97,0.38491,1061351,2,3,2
2000,98,0.86782,242064,5,10,3
2000,99,0.85933,831397,5,10,3
2001,1,0.69478,1242943,4,8,2
2001,2,0.89064,427271,5,10,3
2001,3,0.79741,294995,5,9,3
2001,4,0.84542,1227112,5,10,3
2001,6,0.99451,1276724,5,10,3
2001,7,0.74515,562704,5,9,3
2001,8,0.81978,577243,5,9,3
2001,9,0.79371,788063,5,9,3
2001,10,0.71114,414467,5,9,3
2001,12,0.71015,1377942,5,9,3
2001,13,0.71115,1173394,5,9,3
2001,14,0.70582,1264837,5,9,3
2001,15,0.77406,627638,5,9,3
2001,16,0.84856,598413,5,10,3
2001,17,1,582175,5,10,3
2001,18,0.91331,603349,5,10,3
2001,19,0.90787,401381,5,10,3
2001,20,0.31629,123873,1,2,1
2001,21,0.37368,1597996,2,4,2
2001,22,0.30456,1103442,1,2,1
2001,23,0.64239,733238,4,8,2
2001,24,0.57317,1095349,4,7,2
2001,25,0.51923,694669,3,6,2
2001,26,0.66874,1174940,4,8,2
2001,27,0.61932,860088,4,8,2
2001,28,0.47508,738878,3,6,2
2001,29,0.66407,491951,4,8,2
2001,30,0.44644,912461,3,5,2
2001,31,0.52509,987374,4,7,2
2001,32,0.4547,885607,3,5,2
2001,33,0.44475,1082569,3,5,2
2001,34,0.50044,800276,3,6,2
2001,35,0.42755,912547,3,5,2
2001,36,0.47865,518781,3,6,2
2001,37,0.58109,729093,4,8,2
2001,38,0.52066,1141995,3,6,2
2001,39,0.96313,783323,5,10,3
2001,40,0.24583,991992,1,2,1
2001,41,0.46346,952282,3,5,2
2001,42,0.51087,878888,3,6,2
2001,44,0.5807,1267494,4,8,2
2001,45,0.54682,1559154,4,7,2
2001,46,0.54963,894580,4,7,2
2001,47,0.60946,1313713,4,8,2
2001,48,0.39175,1189935,2,4,2
2001,49,0.545,1228129,4,7,2
2001,50,0.36035,1084177,2,3,2
2001,51,0.34477,1079789,2,3,2
2001,52,0.54998,941131,4,7,2
2001,53,0.34741,1265468,2,3,2
2001,54,0.55381,516542,4,7,2
2001,55,0.36921,795458,2,4,2
2001,56,0.51435,849197,3,6,2
2001,57,0.47106,598580,3,6,2
2001,58,0.54159,930406,4,7,2
2001,59,0.53128,1145053,4,7,2
2001,60,0.23112,619157,1,1,1
2001,61,0.08417,451016,1,1,1
2001,63,0.36644,1268561,2,3,2
2001,64,0.29424,792590,1,2,1
2001,65,0.24728,1081648,1,2,1
2001,66,0.61431,1248759,4,8,2
2001,67,0.53818,1033467,4,7,2
2001,68,0.38575,601445,2,4,2
2001,69,0.20279,508949,1,1,1
2001,70,0.15201,821650,1,1,1
2001,71,0.16645,1000158,1,1,1
2001,72,0.32544,1056260,2,3,2
2001,73,0.26338,1006392,1,2,1
2001,74,0.36317,1057532,2,3,2
2001,75,0.33746,484410,2,3,2
2001,76,0.29409,1139769,1,2,1
2001,77,0.40268,478943,2,4,2
2001,78,0.43592,741488,3,5,2
2001,79,0.42343,1040371,3,5,2
2001,80,0.00009,626238,1,1,1
2001,81,0,814923,1,1,1
2001,82,0.08204,735553,1,1,1
2001,83,0.31082,762163,1,2,1
2001,84,0.37814,684830,2,4,2
2001,85,0.12467,1114901,1,1,1
2001,86,0.33972,1164100,2,3,2
2001,87,0.36662,522875,2,4,2
2001,88,0.3113,846572,1,2,1
2001,89,0.3349,763761,2,3,2
2001,90,0.4002,892793,2,4,2
2001,91,0.29767,999919,1,2,1
2001,92,0.46239,516635,3,5,2
2001,93,0.38816,590817,2,4,2
2001,94,0.49549,705807,3,6,2
2001,95,0.48039,497496,3,6,2
2001,96,0.43205,552316,3,5,2
2001,97,0.3719,1061351,2,4,2
2001,98,0.83099,242064,5,9,3
2001,99,0.83124,831397,5,10,3
2002,1,0.65574,1242943,4,8,2
2002,2,0.90542,427271,5,10,3
2002,3,0.7739,294995,5,9,3
2002,4,0.83346,1227112,5,10,3
2002,6,0.99278,1276724,5,10,3
2002,7,0.71584,562704,5,9,3
2002,8,0.81315,577243,5,9,3
2002,9,0.78329,788063,5,9,3
2002,10,0.74763,414467,5,9,3
2002,12,0.74648,1377942,5,9,3
2002,13,0.74761,1173394,5,9,3
2002,14,0.72075,1264837,5,9,3
2002,15,0.76472,627638,5,9,3
