Kennziffer;Raumeinheit;Aggregat;Lebenserwartung Frauen;Lebenserwartung Frauen;Lebenserwartung Männer;Lebenserwartung Männer
"06434";"Hochtaunuskreis";"Landkreis";"84,28";"84,76";"81,05";"80,98"
"06435";"Main-Kinzig-Kreis";"Landkreis";"83,42";"83,75";"79,07";"79,63"
"06436";"Main-Taunus-Kreis";"Landkreis";"84,62";"84,02";"80,67";"80,54"
"06437";"Odenwaldkreis";"Landkreis";"82,92";"82,59";"78,90";"78,34"
"06438";"Offenbach";"Landkreis";"84,30";"83,91";"80,49";"79,96"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"83,44";"84,20";"79,82";"80,16"
"06440";"Wetteraukreis";"Landkreis";"83,06";"83,40";"79,13";"78,66"
"06531";"Gießen";"Landkreis";"83,41";"83,30";"79,21";"78,38"
"06532";"Lahn-Dill-Kreis";"Landkreis";"83,20";"82,32";"78,72";"78,38"
"06533";"Limburg-Weilburg";"Landkreis";"82,53";"82,42";"78,09";"77,97"
"06534";"Marburg-Biedenkopf";"Landkreis";"83,50";"83,45";"78,48";"78,50"
"06535";"Vogelsbergkreis";"Landkreis";"83,90";"82,61";"78,07";"77,16"
"06611";"Kassel, Stadt";"krsfr. Stadt";"83,17";"82,98";"77,68";"77,66"
"06631";"Fulda";"Landkreis";"84,17";"83,93";"79,23";"79,60"
"06632";"Hersfeld-Rotenburg";"Landkreis";"83,18";"82,23";"78,21";"78,21"
"06633";"Kassel";"Landkreis";"83,12";"83,40";"78,61";"79,01"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"82,41";"82,48";"77,78";"77,85"
"06635";"Waldeck-Frankenberg";"Landkreis";"82,97";"82,49";"78,42";"77,21"
"06636";"Werra-Meißner-Kreis";"Landkreis";"82,78";"81,57";"77,25";"77,36"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"83,17";"84,31";"78,39";"78,27"
"07131";"Ahrweiler";"Landkreis";"83,51";"83,71";"79,22";"78,60"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"82,15";"82,15";"77,62";"78,03"
"07133";"Bad Kreuznach";"Landkreis";"82,76";"82,65";"78,03";"78,22"
"07134";"Birkenfeld";"Landkreis";"81,84";"81,39";"77,59";"76,71"
"07135";"Cochem-Zell";"Landkreis";"82,85";"82,64";"77,93";"77,72"
"07137";"Mayen-Koblenz";"Landkreis";"83,02";"83,67";"78,68";"79,25"
"07138";"Neuwied";"Landkreis";"82,37";"83,34";"78,07";"78,72"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"83,19";"82,84";"78,93";"77,96"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"82,86";"82,71";"77,81";"78,04"
"07143";"Westerwaldkreis";"Landkreis";"83,13";"82,79";"78,11";"78,17"
"07211";"Trier, Stadt";"krsfr. Stadt";"82,93";"81,92";"78,38";"78,34"
"07231";"Bernkastel-Wittlich";"Landkreis";"83,92";"82,71";"78,98";"78,84"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"83,02";"82,51";"78,01";"78,49"
"07233";"Vulkaneifel";"Landkreis";"83,32";"82,59";"79,30";"79,52"
"07235";"Trier-Saarburg";"Landkreis";"84,12";"84,16";"79,24";"79,02"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"83,71";"84,14";"78,23";"77,99"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"81,84";"82,25";"77,02";"77,96"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"84,14";"82,14";"78,91";"79,24"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"82,83";"82,80";"77,96";"77,45"
"07315";"Mainz, Stadt";"krsfr. Stadt";"83,79";"83,99";"79,71";"79,46"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"83,02";"83,93";"79,66";"78,61"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"80,21";"80,17";"75,41";"77,05"
"07318";"Speyer, Stadt";"krsfr. Stadt";"82,92";"83,18";"78,36";"77,75"
"07319";"Worms, Stadt";"krsfr. Stadt";"82,73";"82,29";"78,16";"78,08"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"82,70";"83,00";"78,11";"77,81"
"07331";"Alzey-Worms";"Landkreis";"82,96";"82,99";"78,93";"78,77"
"07332";"Bad Dürkheim";"Landkreis";"82,99";"83,22";"78,72";"79,10"
"07333";"Donnersbergkreis";"Landkreis";"82,25";"82,64";"77,08";"78,42"
"07334";"Germersheim";"Landkreis";"83,32";"83,75";"78,86";"79,72"
"07335";"Kaiserslautern";"Landkreis";"83,55";"82,92";"78,73";"78,31"
"07336";"Kusel";"Landkreis";"82,53";"82,55";"77,21";"76,94"
"07337";"Südliche Weinstraße";"Landkreis";"83,88";"83,95";"79,47";"79,41"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"84,04";"84,11";"79,60";"79,98"
"07339";"Mainz-Bingen";"Landkreis";"83,97";"83,83";"80,01";"79,90"
"07340";"Südwestpfalz";"Landkreis";"83,27";"83,56";"79,06";"79,99"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"84,55";"84,63";"80,32";"79,87"
