Kennziffer;Raumeinheit;Aggregat;Lebenserwartung;Lebenserwartung;Lebenserwartung
"07332";"Bad Dürkheim";"Landkreis";"80,85";"81,06";"81,01"
"07333";"Donnersbergkreis";"Landkreis";"79,64";"79,76";"80,40"
"07334";"Germersheim";"Landkreis";"81,09";"81,29";"81,45"
"07335";"Kaiserslautern";"Landkreis";"81,15";"80,92";"80,49"
"07336";"Kusel";"Landkreis";"79,80";"79,91";"79,51"
"07337";"Südliche Weinstraße";"Landkreis";"81,67";"81,72";"81,52"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"81,83";"82,07";"81,88"
"07339";"Mainz-Bingen";"Landkreis";"82,00";"81,85";"81,73"
"07340";"Südwestpfalz";"Landkreis";"81,16";"81,62";"81,66"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"82,50";"82,43";"82,26"
"08115";"Böblingen";"Landkreis";"82,95";"82,90";"82,61"
"08116";"Esslingen";"Landkreis";"82,56";"82,72";"82,61"
"08117";"Göppingen";"Landkreis";"81,98";"81,86";"81,96"
"08118";"Ludwigsburg";"Landkreis";"82,64";"82,59";"82,15"
"08119";"Rems-Murr-Kreis";"Landkreis";"82,24";"82,25";"82,27"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"81,01";"80,82";"80,70"
"08125";"Heilbronn";"Landkreis";"81,60";"81,59";"81,42"
"08126";"Hohenlohekreis";"Landkreis";"81,58";"81,52";"81,44"
"08127";"Schwäbisch Hall";"Landkreis";"81,71";"81,80";"81,59"
"08128";"Main-Tauber-Kreis";"Landkreis";"81,54";"81,50";"81,19"
"08135";"Heidenheim";"Landkreis";"81,59";"81,75";"81,93"
"08136";"Ostalbkreis";"Landkreis";"81,58";"81,68";"81,45"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"81,08";"80,81";"80,54"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"81,70";"81,86";"81,61"
"08215";"Karlsruhe";"Landkreis";"81,90";"81,94";"81,82"
"08216";"Rastatt";"Landkreis";"81,66";"81,74";"81,52"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"83,15";"82,89";"82,59"
