"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"1323",1203,"Oderland-Spree",2011,423894,0.661960713093311,0.653789833633213,0.644640788363098,0.576915083330642,0.609481,3,5,2
"1324",1203,"Oderland-Spree",2012,423894,0.644245518025305,0.631640494164235,0.641527595904472,0.561074492100291,0.587094,3,5,2
"1325",1203,"Oderland-Spree",2013,423894,0.633785492750008,0.644372753898324,0.62274644918984,0.542853835026961,0.573875,3,5,2
"1326",1203,"Oderland-Spree",2014,423894,0.634147008424527,0.625074780092025,0.615153083048245,0.570583970327447,0.574332,3,5,2
"1327",1204,"Prignitz-Oberhavel",1998,381334,0.874821148010638,0.774366553149893,0.853631496003241,0.741230373145124,0.878476,5,10,3
"1328",1204,"Prignitz-Oberhavel",1999,381334,0.864097596632952,0.772937256443192,0.841227579354248,0.730182604311479,0.864925,5,10,3
"1329",1204,"Prignitz-Oberhavel",2000,381334,0.852803638636711,0.771261870796779,0.828710638644834,0.718170480494545,0.850652,5,10,3
"1330",1204,"Prignitz-Oberhavel",2001,381334,0.843226696173947,0.765977132155023,0.819351915848123,0.710593342949343,0.83855,5,10,3
"1331",1204,"Prignitz-Oberhavel",2002,381334,0.832664687121018,0.738616037629195,0.815020532520267,0.717779652102571,0.825202,5,10,3
"1332",1204,"Prignitz-Oberhavel",2003,381334,0.832748285326213,0.730363338400619,0.80764093501371,0.733605914939163,0.825308,5,10,3
"1333",1204,"Prignitz-Oberhavel",2004,381334,0.835268962301774,0.738428050504267,0.801094315681252,0.737936343495011,0.828493,5,10,3
"1334",1204,"Prignitz-Oberhavel",2005,381334,0.835513461817227,0.73893716789918,0.806924732375649,0.732164101702352,0.828802,5,10,3
"1335",1204,"Prignitz-Oberhavel",2006,381334,0.826572514341992,0.744939279360249,0.794793055449105,0.717548715514029,0.817503,5,10,3
"1336",1204,"Prignitz-Oberhavel",2007,381334,0.793858715479622,0.720963272439081,0.772813780742421,0.687600836129945,0.776162,5,9,3
"1337",1204,"Prignitz-Oberhavel",2008,381334,0.758161850986396,0.732455508537904,0.714888942106341,0.651208913620459,0.731052,4,8,2
"1338",1204,"Prignitz-Oberhavel",2009,381334,0.722595942892213,0.691261356800598,0.687785044722344,0.636986285153516,0.686106,4,7,2
"1339",1204,"Prignitz-Oberhavel",2010,381334,0.718511607480828,0.704188637886574,0.692434047142164,0.609933451105198,0.680945,4,7,2
"1340",1204,"Prignitz-Oberhavel",2011,381334,0.700333537152563,0.719410482629826,0.661815449328725,0.583153109279823,0.657973,4,7,2
"1341",1204,"Prignitz-Oberhavel",2012,381334,0.663724937536564,0.659055736507233,0.658266445471235,0.562116909522952,0.61171,3,6,2
"1342",1204,"Prignitz-Oberhavel",2013,381334,0.649563731543099,0.662390988609666,0.639084203149981,0.545106807749268,0.593814,3,5,2
"1343",1204,"Prignitz-Oberhavel",2014,381334,0.644772927454176,0.64672039325512,0.633990498987266,0.554755395035492,0.58776,3,5,2
"1344",1205,"Uckermark-Barnim",1998,295810,0.891870154147512,0.806895276682489,0.839851558569041,0.762039006328569,0.900021,5,10,3
"1345",1205,"Uckermark-Barnim",1999,295810,0.887644011743286,0.81480652841632,0.827899822820202,0.756273916594198,0.894681,5,10,3
"1346",1205,"Uckermark-Barnim",2000,295810,0.876066095766749,0.801474164463898,0.818563964349275,0.752078844288405,0.880049,5,10,3
"1347",1205,"Uckermark-Barnim",2001,295810,0.857730393583931,0.772408389416445,0.8103135033429,0.746852245103058,0.856878,5,10,3
"1348",1205,"Uckermark-Barnim",2002,295810,0.866593041314169,0.795920847731164,0.803887029543217,0.750329539725687,0.868078,5,10,3
"1349",1205,"Uckermark-Barnim",2003,295810,0.856121735752142,0.758897188623577,0.798956718549067,0.767987793043704,0.854845,5,10,3
"1350",1205,"Uckermark-Barnim",2004,295810,0.851705252410564,0.74043392468553,0.801099517535347,0.774061051683766,0.849264,5,10,3
"1351",1205,"Uckermark-Barnim",2005,295810,0.847853195542741,0.735510841830587,0.807260366884505,0.763885671618729,0.844396,5,10,3
"1352",1205,"Uckermark-Barnim",2006,295810,0.837304573773406,0.744699515124937,0.791882104234157,0.745600153697203,0.831066,5,10,3
"1353",1205,"Uckermark-Barnim",2007,295810,0.813203895273378,0.740577062667778,0.766527046435673,0.719158824065723,0.800609,5,9,3
